DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BAIXA GRANDE DO RIBEIRO,Cerrado,46,0.0,1.0,-8.57674,-44.9296,25.2
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BAIXA GRANDE DO RIBEIRO,Cerrado,42,0.0,1.0,-8.57515,-44.93604,33.4
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BAIXA GRANDE DO RIBEIRO,Cerrado,34,0.0,1.0,-8.57002,-45.34692,19.1
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BAIXA GRANDE DO RIBEIRO,Cerrado,56,0.0,1.0,-8.56469,-44.9188,28.0
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BAIXA GRANDE DO RIBEIRO,Cerrado,33,0.0,1.0,-8.55939,-45.34864,35.8
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BAIXA GRANDE DO RIBEIRO,Cerrado,36,0.0,1.0,-8.54924,-44.95936,14.9
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BAIXA GRANDE DO RIBEIRO,Cerrado,39,0.0,1.0,-8.54754,-44.94699,21.7
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BAIXA GRANDE DO RIBEIRO,Cerrado,120,0.0,1.0,-8.42392,-45.0201,56.4
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BAIXA GRANDE DO RIBEIRO,Cerrado,120,0.0,1.0,-8.42221,-45.00746,45.9
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BAIXA GRANDE DO RIBEIRO,Cerrado,120,0.0,1.0,-8.41355,-45.02165,53.5
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BAIXA GRANDE DO RIBEIRO,Cerrado,120,0.0,1.0,-8.40691,-45.02935,45.4
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BAIXA GRANDE DO RIBEIRO,Cerrado,120,0.0,1.0,-8.40318,-45.02317,38.2
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BAIXA GRANDE DO RIBEIRO,Cerrado,120,0.0,1.0,-8.39195,-44.86098,22.4
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BAIXA GRANDE DO RIBEIRO,Cerrado,120,0.0,1.0,-8.38427,-44.86855,37.2
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BAIXA GRANDE DO RIBEIRO,Cerrado,120,0.0,1.0,-8.3833,-44.87437,48.9
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BAIXA GRANDE DO RIBEIRO,Cerrado,120,0.0,1.0,-8.38168,-44.86234,47.1
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BAIXA GRANDE DO RIBEIRO,Cerrado,120,0.0,1.0,-8.37571,-44.88211,74.3
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BAIXA GRANDE DO RIBEIRO,Cerrado,120,0.0,1.0,-8.374,-44.86993,328.4
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BAIXA GRANDE DO RIBEIRO,Cerrado,89,0.0,1.0,-8.30447,-45.41545,22.6
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,URUÇUÍ,Cerrado,49,0.0,1.0,-8.09137,-44.81763,15.3
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BARREIRAS DO PIAUÍ,Cerrado,32,0.0,1.0,-9.94526,-45.77459,24.2
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BARREIRAS DO PIAUÍ,Cerrado,32,0.0,1.0,-9.86561,-45.77509,17.4
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BARREIRAS DO PIAUÍ,Cerrado,32,0.0,1.0,-9.8636,-45.7602,32.2
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BARREIRAS DO PIAUÍ,Cerrado,32,0.07,1.0,-10.17198,-45.75323,96.8
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BARREIRAS DO PIAUÍ,Cerrado,32,0.0,1.0,-10.15035,-45.76487,19.9
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BARREIRAS DO PIAUÍ,Cerrado,32,0.0,1.0,-10.07899,-45.82586,21.4
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BARREIRAS DO PIAUÍ,Cerrado,32,0.0,1.0,-10.07713,-45.82102,38.1
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BARREIRAS DO PIAUÍ,Cerrado,32,0.0,1.0,-10.06973,-45.84271,57.1
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BARREIRAS DO PIAUÍ,Cerrado,32,0.0,1.0,-10.06775,-45.83786,118.0
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BARREIRAS DO PIAUÍ,Cerrado,32,0.0,1.0,-10.06763,-45.82725,86.1
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BARREIRAS DO PIAUÍ,Cerrado,32,0.0,1.0,-10.06578,-45.82244,37.6
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BARREIRAS DO PIAUÍ,Cerrado,32,0.0,1.0,-10.0349,-45.7552,139.4
